product_code|qty|payment|price_per_unit|payment_date
A0403-0012|3|105| 35 |2022-02-28 08:33:00
PDA14S|1|793| 793 |2022-02-28 18:23:00
PP0101-0050|2|226| 113 |2022-02-28 05:48:00
SL36200BL|1|65| 65 |2022-02-28 07:33:00
PDA14S|1|793| 793 |2022-02-28 05:36:00
PROGEN-L-0012|1|214| 214 |2022-02-28 16:41:00
A0403-0011|1|16| 16 |2022-02-28 04:07:00
PROGEN-S-0010|2|428| 214 |2022-02-28 20:05:00
PROGEN-S-0010|3|642| 214 |2022-02-28 16:59:00
PROGEN-L-0012|3|642| 214 |2022-02-28 19:50:00
A0405-0001|2|256| 128 |2022-02-28 10:22:00
SL36200BL|1|65| 65 |2022-02-28 03:28:00
CC0904-0002|2|280| 140 |2022-02-28 12:08:00
A0403-0012|1|35| 35 |2022-02-28 18:07:00
CC0904-0002|2|280| 140 |2022-02-28 05:48:00
DX-120ST|1|588| 588 |2022-02-28 04:57:00
A0403-0012|1|35| 35 |2022-02-28 11:23:00
SDCZ50|1|126| 126 |2022-02-28 04:01:00
A0403-0011|2|32| 16 |2022-02-28 11:23:00
A0403-0011|3|48| 16 |2022-02-28 02:18:00
A0405-0003|1|54| 54 |2022-02-28 20:01:00
A0403-0014|2|180| 90 |2022-02-28 12:50:00
DX-120ST|1|588| 588 |2022-02-28 20:25:00
A0403-0012|3|105| 35 |2022-02-28 01:13:00
SL36200BL|2|130| 65 |2022-02-28 12:08:00
A0002|3|3000| 1000 |2022-02-28 08:54:00
A0405-0003|3|162| 54 |2022-02-28 16:30:00
A0001|1|3500| 3500 |2022-02-28 10:29:00
PDA14S|1|793| 793 |2022-02-28 17:30:00
PROGEN-L-0012|1|214| 214 |2022-02-28 16:26:00
PDA14S|3|2379| 793 |2022-02-28 12:51:00
PROGEN-S-0010|3|642| 214 |2022-02-28 08:31:00
PDA14S|1|793| 793 |2022-02-28 08:37:00
PROGEN-L-0012|2|428| 214 |2022-02-28 20:36:00
PP0101-0003|2|398| 199 |2022-02-28 04:24:00
PROGEN-M-0011|1|214| 214 |2022-02-28 03:22:00
PDA14S|3|2379| 793 |2022-02-28 01:18:00
CC0904-0002|1|140| 140 |2022-02-28 04:24:00
PROGEN-M-0011|3|642| 214 |2022-02-28 17:56:00
PROGEN-M-0011|2|428| 214 |2022-02-28 21:33:00
CC0904-0002|1|140| 140 |2022-02-28 01:24:00
PP0101-0050|3|339| 113 |2022-02-28 13:49:00
DX-120ST|3|1764| 588 |2022-02-28 21:03:00
PDA14S|3|2379| 793 |2022-02-28 01:44:00
CC0904-0003|1|87| 87 |2022-02-28 20:33:00
PROGEN-M-0011|1|214| 214 |2022-02-28 18:40:00
A0001|3|10500| 3500 |2022-02-28 02:41:00
PROGEN-L-0012|2|428| 214 |2022-02-28 14:14:00
A0405-0001|3|384| 128 |2022-02-28 03:47:00
PP0101-0050|2|226| 113 |2022-02-28 03:08:00
A0001|1|3500| 3500 |2022-02-28 11:37:00
SDCZ50|3|378| 126 |2022-02-28 16:08:00
PROGEN-M-0011|1|214| 214 |2022-02-28 15:13:00
PP0101-0050|1|113| 113 |2022-02-28 10:00:00
A0405-0001|2|256| 128 |2022-02-28 19:20:00
PP0101-0003|1|199| 199 |2022-02-28 02:45:00
A0405-0003|2|108| 54 |2022-02-28 15:27:00
A0002|3|3000| 1000 |2022-02-28 02:19:00
DX-120ST|1|588| 588 |2022-02-28 06:46:00
A0405-0003|1|54| 54 |2022-02-28 21:39:00
A0403-0013|1|55| 55 |2022-02-28 10:01:00
A0002|1|1000| 1000 |2022-02-28 10:06:00
A0405-0001|2|256| 128 |2022-02-28 21:43:00
A0403-0014|1|90| 90 |2022-02-28 03:29:00
DX-120ST|1|588| 588 |2022-02-28 10:39:00
PP0101-0050|1|113| 113 |2022-02-28 17:47:00
A0403-0014|2|180| 90 |2022-02-28 16:17:00
CC0904-0002|1|140| 140 |2022-02-28 04:24:00
CC0904-0002|1|140| 140 |2022-02-28 06:13:00
PROGEN-S-0010|3|642| 214 |2022-02-28 03:37:00
PROGEN-S-0010|3|642| 214 |2022-02-28 18:52:00
A0403-0012|3|105| 35 |2022-02-28 12:30:00
PROGEN-M-0011|2|428| 214 |2022-02-28 03:19:00
A0405-0002|3|249| 83 |2022-02-28 01:05:00
PP0101-0050|3|339| 113 |2022-02-28 05:58:00
CC0904-0003|1|87| 87 |2022-02-28 03:57:00
PROGEN-L-0012|1|214| 214 |2022-02-28 15:40:00
PROGEN-L-0012|2|428| 214 |2022-02-28 02:11:00
A0405-0003|1|54| 54 |2022-02-28 05:32:00
A0403-0012|2|70| 35 |2022-02-28 02:36:00
SL36200BL|1|65| 65 |2022-02-28 20:27:00
A0001|2|7000| 3500 |2022-02-28 13:50:00
SDCZ50|1|126| 126 |2022-02-28 21:50:00
A0405-0001|3|384| 128 |2022-02-28 18:27:00
PROGEN-M-0011|1|214| 214 |2022-02-28 20:12:00
A0403-0012|1|35| 35 |2022-02-28 14:03:00
DX-120ST|3|1764| 588 |2022-02-28 12:19:00
PP0101-0050|2|226| 113 |2022-02-28 03:04:00
PROGEN-M-0011|2|428| 214 |2022-02-28 13:45:00
A0403-0011|2|32| 16 |2022-02-28 21:15:00
A0403-0011|2|32| 16 |2022-02-28 01:21:00
A0405-0001|3|384| 128 |2022-02-28 10:49:00
A0405-0002|2|166| 83 |2022-02-28 03:28:00
A0403-0013|2|110| 55 |2022-02-28 10:25:00
PP0101-0003|1|199| 199 |2022-02-28 13:21:00
CC0904-0003|1|87| 87 |2022-02-28 10:19:00
PDA14S|3|2379| 793 |2022-02-28 21:30:00
PDA14S|2|1586| 793 |2022-02-28 01:25:00
DX-120ST|1|588| 588 |2022-02-28 03:45:00
A0403-0014|3|270| 90 |2022-02-28 01:28:00
PROGEN-M-0011|3|642| 214 |2022-02-28 10:37:00
A0403-0014|1|90| 90 |2022-02-28 21:17:00
PROGEN-M-0011|2|428| 214 |2022-02-28 15:05:00
PROGEN-S-0010|1|214| 214 |2022-02-28 17:42:00
A0403-0014|2|180| 90 |2022-02-28 12:44:00
A0403-0014|3|270| 90 |2022-02-28 19:11:00
A0405-0003|2|108| 54 |2022-02-28 10:53:00
CC0904-0003|2|174| 87 |2022-02-28 13:54:00
PP0101-0003|2|398| 199 |2022-02-28 06:44:00
PP0101-0050|3|339| 113 |2022-02-28 12:11:00
PROGEN-M-0011|3|642| 214 |2022-02-28 02:22:00
PROGEN-L-0012|2|428| 214 |2022-02-28 06:32:00
PDA14S|2|1586| 793 |2022-02-28 02:21:00
A0405-0002|3|249| 83 |2022-02-28 12:19:00
A0403-0014|3|270| 90 |2022-02-28 16:30:00
